umidade,ph,N,P,K,chuva
42.1,6.2,true,false,true,false
78.5,4.5,false,true,false,true
33.2,5.8,true,true,false,false
55.9,7.1,false,false,true,false
89,3.8,true,false,true,true
12.4,6.5,false,true,true,false
64.7,5.2,true,true,true,false
27.3,8,false,false,false,false
48.6,5.9,true,false,false,true
71.2,4.1,false,true,true,false
39.8,6.7,true,true,false,false
15.5,5.5,false,false,true,false
82.1,4.9,true,true,true,true
50.4,6.3,false,true,false,false
22.9,7.4,true,false,true,false
67.8,5,false,true,true,true
44.3,6,true,false,false,false
31.7,5.7,true,true,true,false
59.2,4.3,false,false,false,false
85.6,6.8,true,true,false,true
28.1,7.2,false,true,true,false
47.5,5.4,true,false,true,false
73.4,3.9,false,true,false,true
19.8,6.1,true,true,true,false
52,5.6,false,false,true,false
36.4,6.4,true,true,false,false
77.1,4.7,false,true,true,true
41.2,5.3,true,false,false,false
63.5,6.9,false,true,true,false
11.9,7.5,true,false,true,false
88.3,4.2,false,true,false,true
30.6,5.1,true,true,true,false
54.7,6.6,false,false,true,false
25.4,5.8,true,true,false,false
69.1,4.4,false,true,true,true
43.8,6.2,true,false,false,false
80.2,5.9,true,true,true,false
17.6,7,false,false,false,false
58.3,4.8,true,true,false,true
32.5,6.1,false,true,true,false
75.9,3.7,true,false,true,false
46.1,5.5,false,true,false,true
21.3,6.4,true,true,true,false
61.4,5.3,false,false,true,false
35.7,6.9,true,true,false,false
84.8,4.6,false,true,true,true
49.2,6,true,false,false,false
14.1,7.3,false,true,true,false
70.5,4,true,false,true,false
38.9,5.7,false,true,false,true
56.4,6.5,true,true,true,false
24.6,5.2,false,false,true,false
81.3,6.1,true,true,false,false
45.7,4.2,false,true,true,true
18.2,6.3,true,false,false,false
66.1,7.6,false,true,true,false
34.8,4.9,true,false,true,false
79.4,5.6,false,true,false,true
51.2,6.4,true,true,true,false
26.5,5,false,false,true,false
87.1,6.2,true,true,false,false
40.4,4.4,false,true,true,true
13.7,6.9,true,false,false,false
72.8,7.2,false,true,true,false
37.5,5.1,true,false,true,false
60.3,5.8,false,true,false,true
83.9,6.5,true,true,true,false
23.1,4.7,false,false,true,false
46.9,6,true,true,false,false
16.2,4.1,false,true,true,true
68.4,6.6,true,false,false,false
39.2,7.8,false,true,true,false
76.5,5.3,true,false,true,false
53.1,5.9,false,true,false,true
29.4,6.7,true,true,true,false
86.4,4.8,false,false,true,false
42.7,6.1,true,true,false,false
14.8,4.3,false,true,true,true
74.1,6.4,true,false,false,false
31.9,7.5,false,true,true,false
62.6,5.4,true,false,true,false
88.7,5.6,false,true,false,true
20.2,6.3,true,true,true,false
57.5,4.6,false,false,true,false
43.4,6.2,true,true,false,false
70.2,4.2,false,true,true,true
18.9,6.8,true,false,false,false
84.1,7.1,false,true,true,false
35.1,5.5,true,false,true,false
61.9,5.7,false,true,false,true
49.8,6.4,true,true,true,false
